bank_validity,account_number_present,account_holder_present,account_type_present,beginning_balance,ending_balance,total_credits,total_debits,period_start_present,period_end_present,statement_date_present,future_period,period_age_days,transaction_count,avg_transaction_amount,max_transaction_amount,balance_change,negative_ending_balance,balance_consistency,currency_present,suspicious_transaction_pattern,large_transaction_count,round_number_transactions,date_format_valid,period_length_days,critical_missing_count,field_quality,transaction_date_consistency,duplicate_transactions,unusual_timing,account_number_format_valid,name_format_valid,balance_volatility,credit_debit_ratio,text_quality,risk_score
0.0,0.0,1.0,1.0,0.0,121.75114299862253,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,121.75114299862253,1.0,0.5202262629969445,1.0,0.0,0,0.0,0.0,0.0,2.0,0.798352563059274,0.5,0.0,0.10453960856104788,0.0,1.0,0.0,0.0,0.6948285537301664,48.58111662131281
0.0,1.0,0.0,0.0,937500.3018704611,990282.5204578248,418029.33782801434,365901.3425659122,0.0,0.0,0.0,1.0,0.0,534,42759.89826199003,99126.7964138123,52782.21858736372,1.0,0.1913904522132429,1.0,1.0,45,38.0,0.0,0.0,6.0,0.35283286704579775,0.8852690292051326,1.0,0.3379035126612901,1.0,0.0,8.48430402210208,1.1424646187317884,0.3921203332056599,65.62496237493033
0.0,0.0,1.0,0.0,0.0,561.591518002745,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,561.591518002745,0.0,0.006765365042494531,0.0,1.0,40,0.0,0.0,0.0,6.0,0.30184254201913463,0.5,1.0,0.32120917661619497,0.0,1.0,0.0,0.0,0.37085864759480086,68.3747804940456
0.0,0.0,1.0,0.0,0.0,241.29924766089806,0.0,0.0,0.0,1.0,0.0,0.0,324.26600769510344,0,0.0,0.0,241.29924766089806,0.0,0.33934439282345397,1.0,0.0,0,0.0,0.0,0.0,6.0,0.4997164227120371,0.5,1.0,0.3450190750921781,0.0,1.0,0.0,0.0,0.5646616606387063,77.41013156675938
1.0,1.0,1.0,1.0,739447.3120763473,322557.5545235258,297684.87614692695,327050.36395801074,1.0,1.0,1.0,0.0,214.54419733664204,618,31993.434125734406,81853.63282993756,416889.7575528215,0.0,1.0,1.0,0.0,13,45.0,1.0,173.9345420489556,1.0,0.8478242904057447,0.6879244073629398,0.0,0.038701713818429864,1.0,1.0,0.2274912038485688,0.9102111141057958,0.854206877582301,13.724281383440218
1.0,1.0,1.0,1.0,129122.24544881367,513389.1850062634,136372.7570890983,301069.7201720504,1.0,1.0,1.0,0.0,338.7769289777985,181,16064.107521647791,57536.05359043714,384266.9395574497,0.0,1.0,1.0,0.0,29,4.0,1.0,352.52491175654455,1.0,0.9811117616955407,0.5474322045867711,0.0,0.08654291105400368,1.0,1.0,8.824209979893473,0.45296071956743517,0.8500548447529733,17.40527030073063
1.0,1.0,1.0,1.0,604443.9275978754,893930.6088877687,401569.5247833767,458652.5044941751,1.0,1.0,1.0,0.0,262.9076841152915,815,2626.890804855869,77844.38276173979,289486.68128989334,0.0,1.0,1.0,0.0,5,26.5,1.0,259.21924287278154,0.0,0.971037154432439,0.7404519193882435,0.0,0.04601848339949297,1.0,1.0,5.032899824480745,0.875541986250021,0.8509550708707491,16.30905655102061
1.0,1.0,1.0,1.0,917830.2344477178,304128.3150567956,399863.366605321,213931.8719817724,1.0,1.0,1.0,0.0,169.3646802964948,181,33295.85823533315,95540.36029656854,613701.9193909222,0.0,1.0,1.0,0.0,0,16.5,1.0,307.3690937916611,0.0,0.9346252553296162,0.9991995290915017,0.0,0.0945052980798806,1.0,1.0,2.033016379767875,1.8691154473672371,0.9214887393683767,4.414711537377439
1.0,1.0,1.0,1.0,712420.4503445171,854935.3151909725,393153.86011976737,251077.2140957448,1.0,1.0,1.0,0.0,44.8549934479471,164,31740.192133886027,11368.829649711353,142514.8648464554,0.0,0.49121735010419476,1.0,1.0,38,28.0,1.0,332.12037440306824,4.0,0.7449414074076599,0.9743400990874996,0.5,0.28545436237828303,1.0,1.0,9.546881172076743,1.5658683386929872,0.5628717237097076,49.69276089032914
0.0,1.0,1.0,0.0,634586.9941755015,6148.037114014902,131387.61271364786,464442.741093004,0.0,0.0,0.0,1.0,0.0,931,35751.86083708,92194.34841602387,640735.0312895164,1.0,0.6983768247905167,1.0,1.0,12,15.5,0.0,0.0,3.0,0.7954862238229397,0.7795198912737471,1.0,0.24575476816716602,1.0,1.0,5.568993241507178,0.28289302660742344,0.5880100611135467,41.08696257108412
