has_company,has_employee,has_gross,has_net,has_date,gross_pay,net_pay,tax_error,text_quality,missing_fields_count,has_federal_tax,has_state_tax,has_social_security,has_medicare,total_tax_amount,tax_to_gross_ratio,net_to_gross_ratio,deduction_percentage,risk_score
1,1,1,1,0,7433.888812534469,2316.051669486436,0,0.6041811342843024,1,1,1,1,1,1231.5586290382848,0.1656681529809435,0.3115531759879543,0.6884468240120457,56.74364185311252
1,1,1,1,0,4779.7980877208265,2862.17493637531,0,0.5741321188174373,1,0,0,1,1,322.843477912993,0.06754332965285068,0.5988066616722076,0.40119333832779236,38.47508991008938
1,1,0,1,1,0.0,0.0,0,0.9891199082132622,1,1,1,1,1,0.0,0.0,0.0,0.0,3.6197322412907567
0,0,1,1,0,2758.4159082047863,3043.3216934025454,1,0.8539399339759941,3,0,1,0,0,130.78349699036332,0.047412537246958875,1.0,-0.1032860143933768,97.6845056885845
1,1,1,1,1,2056.588438391241,1271.6553854493063,0,0.709319203706195,0,1,1,1,1,578.2238536458057,0.2811568142910106,0.6183324586051131,0.3816675413948869,3.069449606904521
1,1,1,1,0,8791.754282787777,6407.63097057076,0,0.7072842093440683,1,1,1,0,1,1106.4543702084788,0.12585137557525475,0.7288227996903213,0.27117720030967873,45.235443855088384
1,1,1,1,1,3026.4152417270425,809.5075331065312,0,0.7845859703078351,0,1,0,1,1,672.0588158055717,0.22206431111616304,0.26748065564346707,0.7325193443565329,14.284742952088852
1,1,0,1,1,0.0,0.0,0,0.8373194312193235,1,0,1,1,1,0.0,0.0,0.0,0.0,65.10371374760403
1,1,1,1,1,6075.216686216668,3043.1961861754203,0,0.8325823884854172,0,1,0,1,1,959.5350329545814,0.1579425199979378,0.5009197767512991,0.4990802232487009,0.0
1,1,0,1,1,0.0,0.0,0,0.534523962313402,1,0,0,1,1,0.0,0.0,0.0,0.0,52.5034040247809
1,1,1,1,1,9166.555157203828,9712.332020132468,1,0.626752985297,0,1,0,1,0,976.8522087361072,0.1065669918506318,1.0,-0.05954001842226675,74.69872586944906
0,1,1,1,0,5637.58625998309,3875.6168788813225,0,0.739889786688724,2,1,1,1,0,492.5252501081318,0.08736456124923384,0.6874603243574933,0.3125396756425067,32.51276824008672
1,1,1,1,1,9999.537710294078,3791.6852734043387,0,0.9987825125205114,0,1,1,1,1,1358.378601238832,0.1358441400586391,0.379186056721499,0.620813943278501,60.305990821720854
1,1,1,1,0,9940.899699256895,6463.311460033962,0,0.9026188770695392,1,0,0,1,0,958.5809007000088,0.09642798234566886,0.6501736920770973,0.34982630792290265,53.88172828041656
1,1,1,1,1,5052.156094356943,2357.27236480047,0,0.8585546015640995,0,1,1,1,1,1329.7216174940356,0.26319883880454165,0.4665873976921357,0.5334126023078644,10.036189950766707
1,1,1,1,1,6726.867906650082,4684.149647750079,0,0.40337053713525106,0,0,1,1,1,973.1615865561707,0.14466786029708084,0.6963344178528313,0.3036655821471687,58.1225259469327
0,0,0,1,0,0.0,0.0,1,0.2543759150973346,4,1,0,0,0,0.0,0.0,0.0,0.0,86.85735476838215
1,1,1,1,1,4171.902094929961,1719.0637930620123,0,0.8928373499627595,0,1,1,1,1,361.9050113585656,0.08674820336708822,0.4120575588653339,0.5879424411346661,38.72275096326993
1,1,1,1,1,6592.0746607289,3427.8431059079567,0,0.8103244210654731,0,1,1,1,1,1042.0859496308594,0.15808163639876519,0.519994581725343,0.48000541827465704,3.9227602327347313
1,1,1,1,1,2157.646103943106,505.40369282160646,0,0.9500701367208426,0,0,0,1,1,399.06777639337685,0.18495515815317398,0.2342384563891082,0.7657615436108918,6.477910057007127
1,1,1,1,1,4335.364005576533,1304.1311506850116,0,0.8493536252791736,0,0,1,1,1,498.8171726107859,0.11505773724401519,0.3008123767710212,0.6991876232289788,7.593045285246825
1,1,1,1,1,1035.2835850246174,853.5620330469574,0,0.8680160386651485,0,1,0,1,1,156.4703204865391,0.15113764262264284,0.824471715183875,0.17552828481612504,0.0
1,1,1,1,1,5262.408096132928,4192.717799658632,0,0.8393571051025214,0,1,1,1,1,1416.984599356257,0.2692654338985085,0.7967298854567444,0.20327011454325558,0.0
1,1,1,1,1,2000.574580629549,637.1906670949982,0,0.9289295360261658,0,1,1,1,1,430.08465720426307,0.21498056676743452,0.3185038304817831,0.6814961695182169,6.029382930741329
1,1,1,1,1,5282.551221621913,2875.566090431658,0,0.9665720620112475,0,1,0,1,1,1343.2328680978856,0.2542773012024803,0.5443517667489396,0.45564823325106035,0.0
1,1,1,1,1,7963.162243938154,6079.543016972472,0,0.7155948598390859,0,1,1,1,1,1898.658687374779,0.23843024030059246,0.7634583888580745,0.23654161114192546,3.857797749245769
1,0,1,1,1,6614.137720649267,7422.067551656818,1,0.8385304896835721,1,0,0,0,1,226.88700719130088,0.03430333881360863,1.0,-0.12215195164219256,77.63639509128275
0,1,1,1,0,2280.3337499873733,2722.7177589616995,1,0.8298736980554524,2,0,1,0,1,6.944007616565564,0.003045171618673808,1.0,-0.19399967613371322,100.0
1,1,0,1,1,0.0,0.0,1,0.26222551210673795,1,0,1,1,1,0.0,0.0,0.0,0.0,81.64534394366805
1,1,1,1,1,8660.260912428716,1944.4208198786655,0,0.9671469992220354,0,0,0,1,1,1400.7427376331127,0.16174371093402581,0.22452219852731492,0.7754778014726851,7.591194034127062
1,1,1,1,1,5564.3282776936485,771.813770685292,0,0.8782349564717908,0,1,1,1,1,1012.1396322137351,0.18189790064529687,0.13870744718268133,0.8612925528173186,10.535259807142726
1,1,1,1,1,2941.40750123883,1152.975325634382,0,0.8576997169575636,0,1,1,1,1,565.3639525454037,0.19220864579535132,0.39198082045713983,0.6080191795428602,13.837533184155474
1,0,1,1,1,8318.742453120904,2815.952854661498,0,0.6157607528139758,1,0,1,1,1,967.0898185847888,0.11625432858808728,0.3385070364337401,0.6614929635662599,30.22177111731036
1,1,1,0,1,0.0,0.0,0,0.9175453983685845,1,1,1,1,1,0.0,0.0,0.0,0.0,11.999493031301377
0,1,1,1,1,8127.610990077104,2420.9795759234958,0,0.5197980858026969,1,1,0,0,1,898.153046521297,0.11050640189569118,0.29787099541048884,0.7021290045895112,39.34882661809937
1,1,1,1,1,4664.936473972521,1364.9361365317368,0,0.8594879776290085,0,1,0,1,1,928.9788622137092,0.19914073158270013,0.29259479612364325,0.7074052038763567,9.294837421675865
1,1,1,1,1,8887.072399010794,1730.2565009474654,0,0.7927996314626347,0,1,1,1,1,1820.85591520686,0.20488816040359212,0.19469364299767125,0.8053063570023288,11.111968866182576
1,1,1,0,1,0.0,0.0,1,0.4372373876166718,1,0,1,0,1,0.0,0.0,0.0,0.0,56.28578262003585
1,1,1,1,1,7078.777517599645,5410.327401400037,0,0.684863819243832,0,0,1,1,0,1078.1029701275938,0.15230072811967252,0.7643025067461979,0.23569749325380202,34.951862611094114
1,1,1,1,1,7609.902328531536,5246.1274413542005,0,0.9005977994533947,0,1,1,1,1,1279.1925740295399,0.16809579398062818,0.6893817048985086,0.31061829510149147,0.0
1,0,1,1,1,8396.66733790491,727.9443158187522,0,0.7280977479736594,1,1,1,1,1,1332.1047839059315,0.1586468452659113,0.08669443322264389,0.9133055667773561,23.247761394281998
1,1,1,0,1,0.0,0.0,0,0.7454956613128398,1,1,1,1,1,0.0,0.0,0.0,0.0,7.598759771963876
0,0,1,1,0,3981.176290274634,1667.5204054194605,0,0.4608879962854854,3,0,1,1,1,362.2120087044531,0.0909811528791825,0.4188511846342855,0.5811488153657145,62.76577106864358
